Week,china,putin,iran,refugee,syria
2007-04-22 - 2007-04-28,57,1,10,1,2
2007-04-29 - 2007-05-05,56,1,10,1,2
2007-05-06 - 2007-05-12,58,1,10,1,2
2007-05-13 - 2007-05-19,58,1,10,1,2
2007-05-20 - 2007-05-26,58,1,10,1,2
2007-05-27 - 2007-06-02,57,1,10,1,1
2007-06-03 - 2007-06-09,57,2,10,1,2
2007-06-10 - 2007-06-16,54,1,9,1,1
2007-06-17 - 2007-06-23,52,1,9,2,2
2007-06-24 - 2007-06-30,52,1,9,1,2
2007-07-01 - 2007-07-07,53,1,9,1,2
2007-07-08 - 2007-07-14,56,1,9,1,2
2007-07-15 - 2007-07-21,54,1,11,1,2
2007-07-22 - 2007-07-28,53,1,9,1,2
2007-07-29 - 2007-08-04,52,1,9,1,2
2007-08-05 - 2007-08-11,54,1,9,1,1
2007-08-12 - 2007-08-18,54,1,8,1,1
2007-08-19 - 2007-08-25,60,2,9,1,2
2007-08-26 - 2007-09-01,55,1,8,1,1
2007-09-02 - 2007-09-08,54,1,9,1,2
2007-09-09 - 2007-09-15,56,1,9,1,2
2007-09-16 - 2007-09-22,61,1,11,1,3
2007-09-23 - 2007-09-29,58,1,16,1,2
2007-09-30 - 2007-10-06,57,1,12,1,2
2007-10-07 - 2007-10-13,60,1,10,1,2
2007-10-14 - 2007-10-20,57,2,11,1,2
2007-10-21 - 2007-10-27,57,1,11,1,2
2007-10-28 - 2007-11-03,56,1,11,1,2
2007-11-04 - 2007-11-10,57,1,10,1,2
2007-11-11 - 2007-11-17,57,1,9,1,2
2007-11-18 - 2007-11-24,55,1,9,1,2
2007-11-25 - 2007-12-01,58,1,9,1,2
2007-12-02 - 2007-12-08,57,2,11,1,2
2007-12-09 - 2007-12-15,55,1,10,1,2
2007-12-16 - 2007-12-22,54,2,9,1,1
2007-12-23 - 2007-12-29,47,1,9,1,2
2007-12-30 - 2008-01-05,51,1,8,1,2
2008-01-06 - 2008-01-12,55,1,11,1,2
2008-01-13 - 2008-01-19,53,1,9,1,1
2008-01-20 - 2008-01-26,52,1,8,1,2
2008-01-27 - 2008-02-02,57,1,8,1,2
2008-02-03 - 2008-02-09,53,1,9,1,2
2008-02-10 - 2008-02-16,52,1,9,1,2
2008-02-17 - 2008-02-23,54,1,9,1,2
2008-02-24 - 2008-03-01,53,1,8,1,2
2008-03-02 - 2008-03-08,53,1,9,1,2
2008-03-09 - 2008-03-15,56,1,9,1,2
2008-03-16 - 2008-03-22,57,1,8,1,2
2008-03-23 - 2008-03-29,57,1,8,1,2
2008-03-30 - 2008-04-05,56,1,8,1,2
2008-04-06 - 2008-04-12,62,1,9,1,2
2008-04-13 - 2008-04-19,62,3,9,1,2
2008-04-20 - 2008-04-26,60,1,9,1,2
2008-04-27 - 2008-05-03,58,1,9,1,2
2008-05-04 - 2008-05-10,59,1,9,1,2
2008-05-11 - 2008-05-17,97,1,9,1,2
2008-05-18 - 2008-05-24,72,1,9,1,2
2008-05-25 - 2008-05-31,64,1,8,1,2
2008-06-01 - 2008-06-07,57,1,9,1,2
2008-06-08 - 2008-06-14,55,1,9,1,2
2008-06-15 - 2008-06-21,54,1,9,1,2
2008-06-22 - 2008-06-28,52,1,9,1,2
2008-06-29 - 2008-07-05,51,0,11,1,2
2008-07-06 - 2008-07-12,51,1,13,1,2
2008-07-13 - 2008-07-19,51,0,10,1,2
2008-07-20 - 2008-07-26,53,0,9,1,2
2008-07-27 - 2008-08-02,56,0,9,1,1
2008-08-03 - 2008-08-09,85,1,9,1,2
2008-08-10 - 2008-08-16,100,3,10,1,2
2008-08-17 - 2008-08-23,81,1,9,1,2
2008-08-24 - 2008-08-30,68,2,8,1,2
2008-08-31 - 2008-09-06,56,2,8,1,2
2008-09-07 - 2008-09-13,57,1,9,1,2
2008-09-14 - 2008-09-20,55,1,8,1,2
2008-09-21 - 2008-09-27,57,1,9,1,2
2008-09-28 - 2008-10-04,52,1,9,1,2
2008-10-05 - 2008-10-11,52,1,9,1,2
2008-10-12 - 2008-10-18,54,1,8,1,2
2008-10-19 - 2008-10-25,53,1,8,1,2
2008-10-26 - 2008-11-01,50,1,8,1,3
2008-11-02 - 2008-11-08,50,1,9,1,2
