Week,brexit,zika,migrant,gold,oil
2007-07-15 - 2007-07-21,0,0,0,43,32
2007-07-22 - 2007-07-28,0,0,0,45,32
2007-07-29 - 2007-08-04,0,0,0,44,31
2007-08-05 - 2007-08-11,0,0,0,44,31
2007-08-12 - 2007-08-18,0,0,0,44,30
2007-08-19 - 2007-08-25,0,0,0,43,30
2007-08-26 - 2007-09-01,0,0,0,42,29
2007-09-02 - 2007-09-08,0,0,0,43,28
2007-09-09 - 2007-09-15,0,0,0,43,30
2007-09-16 - 2007-09-22,0,0,0,44,32
2007-09-23 - 2007-09-29,0,0,0,43,31
2007-09-30 - 2007-10-06,0,0,0,43,31
2007-10-07 - 2007-10-13,0,0,0,44,30
2007-10-14 - 2007-10-20,0,0,0,44,32
2007-10-21 - 2007-10-27,0,0,0,43,32
2007-10-28 - 2007-11-03,0,0,0,45,35
2007-11-04 - 2007-11-10,0,0,0,45,36
2007-11-11 - 2007-11-17,0,0,0,45,36
2007-11-18 - 2007-11-24,0,0,0,44,33
2007-11-25 - 2007-12-01,0,0,0,47,33
2007-12-02 - 2007-12-08,0,0,0,47,33
2007-12-09 - 2007-12-15,0,0,0,46,31
2007-12-16 - 2007-12-22,0,0,0,46,29
2007-12-23 - 2007-12-29,0,0,0,48,26
2007-12-30 - 2008-01-05,0,0,0,51,33
2008-01-06 - 2008-01-12,0,0,0,49,34
2008-01-13 - 2008-01-19,0,0,0,49,33
2008-01-20 - 2008-01-26,0,0,0,49,33
2008-01-27 - 2008-02-02,0,0,0,49,33
2008-02-03 - 2008-02-09,0,0,0,49,32
2008-02-10 - 2008-02-16,0,0,0,48,33
2008-02-17 - 2008-02-23,0,0,0,47,33
2008-02-24 - 2008-03-01,0,0,0,47,34
2008-03-02 - 2008-03-08,0,0,0,48,34
2008-03-09 - 2008-03-15,0,0,0,52,36
2008-03-16 - 2008-03-22,0,0,0,55,35
2008-03-23 - 2008-03-29,0,0,0,50,34
2008-03-30 - 2008-04-05,0,0,0,48,34
2008-04-06 - 2008-04-12,0,0,0,46,35
2008-04-13 - 2008-04-19,0,0,0,46,36
2008-04-20 - 2008-04-26,0,0,0,47,39
2008-04-27 - 2008-05-03,0,0,0,48,39
2008-05-04 - 2008-05-10,0,0,0,47,39
2008-05-11 - 2008-05-17,0,0,0,46,39
